Untranslated DE entries in units-stats (EN == DE)
file | unit | field | value
--------------------------------------------------------------------------------
beastmen-brayherds-stats.json | Beastlord | name_de | Beastlord
beastmen-brayherds-stats.json | Beastlord | specialRules_de | Foe Render
beastmen-brayherds-stats.json | Beastlord | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Bestigor | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Bloodkine | name_de | Bloodkine
beastmen-brayherds-stats.json | Bloodkine | unitCategory_de | Champion
beastmen-brayherds-stats.json | Bray-Shaman | equipment_de | Braystaff
beastmen-brayherds-stats.json | Bray-Shaman | name_de | Bray-Shaman
beastmen-brayherds-stats.json | Bray-Shaman | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Centigor | specialRules_de | Drunken
beastmen-brayherds-stats.json | Centigor | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Cockatrice | name_de | Cockatrice
beastmen-brayherds-stats.json | Cockatrice | specialRules_de | Stony Stare
beastmen-brayherds-stats.json | Cockatrice | unitCategory_de | Monster
beastmen-brayherds-stats.json | Cygor | equipment_de | hurl attack
beastmen-brayherds-stats.json | Cygor | name_de | Cygor
beastmen-brayherds-stats.json | Cygor | specialRules_de | Ghostsight
beastmen-brayherds-stats.json | Cygor | specialRules_de | Soul-eater
beastmen-brayherds-stats.json | Cygor | troopType_de | Behemoth
beastmen-brayherds-stats.json | Cygor | unitCategory_de | Monster
beastmen-brayherds-stats.json | Doombull | name_de | Doombull
beastmen-brayherds-stats.json | Doombull | specialRules_de | Bull-gors
beastmen-brayherds-stats.json | Doombull | specialRules_de | Foe Render
beastmen-brayherds-stats.json | Doombull | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Doombull | specialRules_de | Slaughterer's Call
beastmen-brayherds-stats.json | Ghorgon | equipment_de | Cleaver-limbs
beastmen-brayherds-stats.json | Ghorgon | name_de | Ghorgon
beastmen-brayherds-stats.json | Ghorgon | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Ghorgon | specialRules_de | Regeneration (6+)
beastmen-brayherds-stats.json | Ghorgon | specialRules_de | Swallow Whole
beastmen-brayherds-stats.json | Ghorgon | troopType_de | Behemoth
beastmen-brayherds-stats.json | Ghorgon | unitCategory_de | Monster
beastmen-brayherds-stats.json | Ghorros Warhoof | equipment_de | Mansmasher
beastmen-brayherds-stats.json | Ghorros Warhoof | specialRules_de | Drunken
beastmen-brayherds-stats.json | Ghorros Warhoof | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Giant | troopType_de | Behemoth
beastmen-brayherds-stats.json | Giant | unitCategory_de | Monster
beastmen-brayherds-stats.json | Gor | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Gorebull | name_de | Gorebull
beastmen-brayherds-stats.json | Gorebull | specialRules_de | Bull-gors
beastmen-brayherds-stats.json | Gorebull | specialRules_de | Foe Render
beastmen-brayherds-stats.json | Gorebull | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Gorebull | specialRules_de | Slaughterer's Call
beastmen-brayherds-stats.json | Gorehoof | name_de | Gorehoof
beastmen-brayherds-stats.json | Gorehoof | unitCategory_de | Champion
beastmen-brayherds-stats.json | Gourge-horn | unitCategory_de | Champion
beastmen-brayherds-stats.json | Great Bray-Shaman | equipment_de | Braystaff
beastmen-brayherds-stats.json | Great Bray-Shaman | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Half-horn | name_de | Half-horn
beastmen-brayherds-stats.json | Half-horn | unitCategory_de | Champion
beastmen-brayherds-stats.json | Herdstone | equipment_de | Herdstones
beastmen-brayherds-stats.json | Herdstone | name_de | Herdstone
beastmen-brayherds-stats.json | Jabberslythe | equipment_de | slythey tongue
beastmen-brayherds-stats.json | Jabberslythe | name_de | Jabberslythe
beastmen-brayherds-stats.json | Jabberslythe | specialRules_de | Maddening Aura
beastmen-brayherds-stats.json | Jabberslythe | unitCategory_de | Monster
beastmen-brayherds-stats.json | Kralmaw, the Prophet of Ruin | equipment_de | Grisly Totem (Braystaff)
beastmen-brayherds-stats.json | Kralmaw, the Prophet of Ruin | specialRules_de | Future Sight
beastmen-brayherds-stats.json | Kralmaw, the Prophet of Ruin | specialRules_de | Leering Spirit
beastmen-brayherds-stats.json | Kralmaw, the Prophet of Ruin | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Minotaur | specialRules_de | Bull-gors
beastmen-brayherds-stats.json | Minotaur | specialRules_de | Foe Render
beastmen-brayherds-stats.json | Minotaur | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Preyton | equipment_de | twisted antlers
beastmen-brayherds-stats.json | Preyton | name_de | Preyton
beastmen-brayherds-stats.json | Preyton | specialRules_de | Endless Malice
beastmen-brayherds-stats.json | Preyton | unitCategory_de | Monster
beastmen-brayherds-stats.json | Primal Warherd – Foe-render | unitCategory_de | Champion
beastmen-brayherds-stats.json | Primal Warherd – Gor | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Razorgor | specialRules_de | Foe Render
beastmen-brayherds-stats.json | Razorgor | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Razorgor Chariot | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Shaggoth | specialRules_de | Storm Call
beastmen-brayherds-stats.json | Shaggoth | unitCategory_de | Monster
beastmen-brayherds-stats.json | Shartak | name_de | Shartak
beastmen-brayherds-stats.json | Shartak | unitCategory_de | Champion
beastmen-brayherds-stats.json | Splice-horn | unitCategory_de | Champion
beastmen-brayherds-stats.json | True-horn | name_de | True-horn
beastmen-brayherds-stats.json | True-horn | unitCategory_de | Champion
beastmen-brayherds-stats.json | Tuskgor Chariot | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Ungor | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Ungor Ravager | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Wargor | name_de | Wargor
beastmen-brayherds-stats.json | Wargor | specialRules_de | Foe Render
beastmen-brayherds-stats.json | Wargor | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Warhoof | name_de | Warhoof
beastmen-brayherds-stats.json | Warhoof | specialRules_de | Drunken
beastmen-brayherds-stats.json | Warhoof | specialRules_de | Primal Fury
beastmen-brayherds-stats.json | Warped Gor | specialRules_de | Primal Fury
bretonnia-stats.json | Battle Pilgrims | equipment_de | Hand Weapon
bretonnia-stats.json | Battle Pilgrims | specialRules_de | Devout
bretonnia-stats.json | Battle Pilgrims | unitCategory_de | Special
bretonnia-stats.json | Damsel | equipment_de | Hand Weapon
bretonnia-stats.json | Damsel | unitCategory_de | Hero
bretonnia-stats.json | Duke | equipment_de | Hand Weapon
bretonnia-stats.json | Duke | unitCategory_de | Lord
bretonnia-stats.json | Field Trebuchet | specialRules_de | Crewed
bretonnia-stats.json | Field Trebuchet | unitCategory_de | Rare
bretonnia-stats.json | Grail Knights | equipment_de | Hand Weapon
bretonnia-stats.json | Grail Knights | specialRules_de | Grail Vow
bretonnia-stats.json | Grail Knights | unitCategory_de | Special
bretonnia-stats.json | Grail Reliquae | equipment_de | Hand Weapon
bretonnia-stats.json | Grail Reliquae | specialRules_de | Devout
bretonnia-stats.json | Grail Reliquae | specialRules_de | Relic
bretonnia-stats.json | Grail Reliquae | unitCategory_de | Rare
bretonnia-stats.json | Knights Errant | equipment_de | Hand Weapon
bretonnia-stats.json | Knights Errant | specialRules_de | Impulsive
bretonnia-stats.json | Knights Errant | unitCategory_de | Core
bretonnia-stats.json | Knights of the Realm | equipment_de | Hand Weapon
bretonnia-stats.json | Knights of the Realm | unitCategory_de | Core
bretonnia-stats.json | Men-at-Arms | equipment_de | Hand Weapon
bretonnia-stats.json | Men-at-Arms | unitCategory_de | Core
bretonnia-stats.json | Mounted Yeomen | equipment_de | Hand Weapon
bretonnia-stats.json | Mounted Yeomen | unitCategory_de | Special
bretonnia-stats.json | Paladin | equipment_de | Hand Weapon
bretonnia-stats.json | Paladin | name_de | Paladin
bretonnia-stats.json | Paladin | unitCategory_de | Hero
bretonnia-stats.json | Peasant Bowmen | equipment_de | Hand Weapon
bretonnia-stats.json | Peasant Bowmen | unitCategory_de | Core
bretonnia-stats.json | Pegasus Knights | equipment_de | Hand Weapon
bretonnia-stats.json | Pegasus Knights | unitCategory_de | Special
bretonnia-stats.json | Prophetess of the Lady | equipment_de | Hand Weapon
bretonnia-stats.json | Prophetess of the Lady | unitCategory_de | Lord
bretonnia-stats.json | Questing Knights | equipment_de | Hand Weapon
bretonnia-stats.json | Questing Knights | specialRules_de | Questing Vow
bretonnia-stats.json | Questing Knights | unitCategory_de | Special
bretonnia-stats.json | The Green Knight | equipment_de | Hand Weapon
bretonnia-stats.json | The Green Knight | unitCategory_de | Legendary Lord
chaos-dwarfs-stats.json | Bale Taurus | name_de | Bale Taurus
chaos-dwarfs-stats.json | Bale Taurus | specialRules_de | Blazing Body
chaos-dwarfs-stats.json | Bale Taurus | troopType_de | Behemoth
chaos-dwarfs-stats.json | Bale Taurus | unitCategory_de | Monster
chaos-dwarfs-stats.json | Bull Centaur Renders | name_de | Bull Centaur Renders
chaos-dwarfs-stats.json | Bull Centaur Renders | specialRules_de | Stampede
chaos-dwarfs-stats.json | Bull Centaur Taur'ruk | name_de | Bull Centaur Taur'ruk
chaos-dwarfs-stats.json | Bull Centaur Taur'ruk | specialRules_de | Stampede
chaos-dwarfs-stats.json | Daemonsmith Sorcerer | name_de | Daemonsmith Sorcerer
chaos-dwarfs-stats.json | Daemonsmith Sorcerer | specialRules_de | Sorcerer's Curse
chaos-dwarfs-stats.json | Deathshrieker Rocket Launcher | equipment_de | Demolition Rockets
chaos-dwarfs-stats.json | Deathshrieker Rocket Launcher | equipment_de | Infernal Incendiaries
chaos-dwarfs-stats.json | Deathshrieker Rocket Launcher | name_de | Deathshrieker Rocket Launcher
chaos-dwarfs-stats.json | Deathshrieker Rocket Launcher | unitCategory_de | War Machine
chaos-dwarfs-stats.json | Dreadquake Mortar | unitCategory_de | War Machine
chaos-dwarfs-stats.json | Giant Wolf | unitCategory_de | Mount
chaos-dwarfs-stats.json | Great Taurus | specialRules_de | Blazing Body
chaos-dwarfs-stats.json | Great Taurus | troopType_de | Behemoth
chaos-dwarfs-stats.json | Great Taurus | unitCategory_de | Monster
chaos-dwarfs-stats.json | Hobgoblin Bolt Thrower | name_de | Hobgoblin Bolt Thrower
chaos-dwarfs-stats.json | Hobgoblin Bolt Thrower | unitCategory_de | War Machine
chaos-dwarfs-stats.json | Hobgoblin Cutthroats | name_de | Hobgoblin Cutthroats
chaos-dwarfs-stats.json | Hobgoblin Cutthroats | specialRules_de | Backstab
chaos-dwarfs-stats.json | Hobgoblin Khan | name_de | Hobgoblin Khan
chaos-dwarfs-stats.json | Hobgoblin Khan | specialRules_de | Backstab
chaos-dwarfs-stats.json | Hobgoblin Wolf Riders | specialRules_de | Backstab
chaos-dwarfs-stats.json | Infernal Castellan | name_de | Infernal Castellan
chaos-dwarfs-stats.json | Infernal Ironsworn | name_de | Infernal Ironsworn
chaos-dwarfs-stats.json | Iron Daemon | specialRules_de | Carriage Hauler
chaos-dwarfs-stats.json | Iron Daemon | specialRules_de | Lumbering Destruction
chaos-dwarfs-stats.json | K'daai Fireborn | specialRules_de | Blazing Body
chaos-dwarfs-stats.json | K'daai Fireborn | specialRules_de | Regeneration (5+)
chaos-dwarfs-stats.json | K'daai Fireborn | specialRules_de | Warp-spawned
chaos-dwarfs-stats.json | Lammasu | name_de | Lammasu
chaos-dwarfs-stats.json | Lammasu | specialRules_de | Sorcerous Miasma
chaos-dwarfs-stats.json | Lammasu | unitCategory_de | Monster
chaos-dwarfs-stats.json | Magma Cannon | unitCategory_de | War Machine
chaos-dwarfs-stats.json | Sneaky Gits | name_de | Sneaky Gits
chaos-dwarfs-stats.json | Sneaky Gits | specialRules_de | Backstab
chaos-dwarfs-stats.json | Sorcerer-Prophet | name_de | Sorcerer-Prophet
chaos-dwarfs-stats.json | Sorcerer-Prophet | specialRules_de | Sorcerer's Curse
daemons-of-chaos-stats.json | Bloodletters of Khorne | equipment_de | Hellblade
daemons-of-chaos-stats.json | Bloodletters of Khorne | specialRules_de | Daemonic
daemons-of-chaos-stats.json | Bloodthirster of Khorne | equipment_de | Goreaxe
daemons-of-chaos-stats.json | Bloodthirster of Khorne | specialRules_de | Daemonic
daemons-of-chaos-stats.json | Bloodthirster of Khorne | specialRules_de | Regeneration
daemons-of-chaos-stats.json | Bloodthirster of Khorne | unitCategory_de | Monster
daemons-of-chaos-stats.json | Bloodthirster of Khorne (on Juggernaut) | equipment_de | Goreaxe
daemons-of-chaos-stats.json | Bloodthirster of Khorne (on Juggernaut) | equipment_de | Juggernaut Mount
daemons-of-chaos-stats.json | Bloodthirster of Khorne (on Juggernaut) | specialRules_de | Daemonic
daemons-of-chaos-stats.json | Bloodthirster of Khorne (on Juggernaut) | specialRules_de | Juggernaut
daemons-of-chaos-stats.json | Bloodthirster of Khorne (on Juggernaut) | specialRules_de | Regeneration
daemons-of-chaos-stats.json | Bloodthirster of Khorne (on Juggernaut) | unitCategory_de | Monster
daemons-of-chaos-stats.json | Daemon Prince of Chaos (Khorne) | specialRules_de | Daemonic
daemons-of-chaos-stats.json | Daemon Prince of Chaos (Khorne) (with wings) | equipment_de | Wings
daemons-of-chaos-stats.json | Daemon Prince of Chaos (Khorne) (with wings) | specialRules_de | Daemonic
daemons-of-chaos-stats.json | Flesh Hounds of Khorne | specialRules_de | Daemonic
daemons-of-chaos-stats.json | Herald of Khorne | equipment_de | Hellblade
daemons-of-chaos-stats.json | Herald of Khorne | specialRules_de | Daemonic
daemons-of-chaos-stats.json | Herald of Khorne (on Juggernaut) | equipment_de | Hellblade
daemons-of-chaos-stats.json | Herald of Khorne (on Juggernaut) | equipment_de | Juggernaut Mount
daemons-of-chaos-stats.json | Herald of Khorne (on Juggernaut) | specialRules_de | Daemonic
daemons-of-chaos-stats.json | Herald of Khorne (on Juggernaut) | specialRules_de | Juggernaut
daemons-of-chaos-stats.json | Skull Cannon | specialRules_de | Blast
daemons-of-chaos-stats.json | Skull Cannon | specialRules_de | Daemonic
daemons-of-chaos-stats.json | Skull Cannon | unitCategory_de | Warmachine
dark-elves-stats.json | Black Dragon | troopType_de | Behemoth
dark-elves-stats.json | Black Dragon | unitCategory_de | Monster
dark-elves-stats.json | Bloodwrack Medusa | specialRules_de | Murderous
dark-elves-stats.json | Bloodwrack Medusa | specialRules_de | Stony Stare
dark-elves-stats.json | Bloodwrack Medusa | unitCategory_de | Monster
dark-elves-stats.json | Bloodwrack Shrine | specialRules_de | Dragged Along
dark-elves-stats.json | Bloodwrack Shrine | specialRules_de | Murderous
dark-elves-stats.json | Bloodwrack Shrine | specialRules_de | Stony Stare
dark-elves-stats.json | Cauldron of Blood | specialRules_de | Dragged Along
dark-elves-stats.json | Cauldron of Blood | specialRules_de | Murderous
dark-elves-stats.json | Cold One (Dark Elves) | unitCategory_de | Mount
dark-elves-stats.json | Dark Elf Dreadlord | name_de | Dark Elf Dreadlord
dark-elves-stats.json | Dark Elf Dreadlord | specialRules_de | Murderous
dark-elves-stats.json | Dark Elf Master | specialRules_de | Murderous
dark-elves-stats.json | Dark Elf Shades | name_de | Dark Elf Shades
dark-elves-stats.json | Dark Pegasus | name_de | Dark Pegasus
dark-elves-stats.json | Dark Pegasus | unitCategory_de | Mount
dark-elves-stats.json | Dark Steed | unitCategory_de | Mount
dark-elves-stats.json | Death Hag | specialRules_de | Murderous
dark-elves-stats.json | Doomfire Warlocks | name_de | Doomfire Warlocks
dark-elves-stats.json | Doomfire Warlocks | specialRules_de | Cursed Coven
dark-elves-stats.json | Har Ganeth Executioners | name_de | Har Ganeth Executioners
dark-elves-stats.json | Har Ganeth Executioners | specialRules_de | Murderous
dark-elves-stats.json | Harpies | name_de | Harpies
dark-elves-stats.json | High Beastmaster | specialRules_de | Murderous
dark-elves-stats.json | Khainite Assassin | specialRules_de | Hidden
dark-elves-stats.json | Khainite Assassin | specialRules_de | Murderous
dark-elves-stats.json | Kharibdyss | name_de | Kharibdyss
dark-elves-stats.json | Kharibdyss | specialRules_de | Abyssal Howl
dark-elves-stats.json | Kharibdyss | specialRules_de | Monster Handlers
dark-elves-stats.json | Kharibdyss | troopType_de | Behemoth
dark-elves-stats.json | Kharibdyss | unitCategory_de | Monster
dark-elves-stats.json | Manticore (Dark Elves) | unitCategory_de | Monster
dark-elves-stats.json | Reaper Bolt Thrower | equipment_de | Repeater bolt thrower
