Untranslated FR entries in units-stats (EN == FR)
file | unit | field | value
--------------------------------------------------------------------------------
beastmen-brayherds-stats.json | Centigor | specialRules_fr | Horde
beastmen-brayherds-stats.json | Cygor | specialRules_fr | Timmm-berrr!
beastmen-brayherds-stats.json | Ghorgon | specialRules_fr | Timmm-berrr!
beastmen-brayherds-stats.json | Giant | specialRules_fr | Timmm-berrr!
beastmen-brayherds-stats.json | Gor | specialRules_fr | Horde
beastmen-brayherds-stats.json | Primal Warherd – Gor | specialRules_fr | Horde
beastmen-brayherds-stats.json | Primal Warhound | specialRules_fr | Horde
beastmen-brayherds-stats.json | Ungor | specialRules_fr | Horde
beastmen-brayherds-stats.json | Ungor Ravager | specialRules_fr | Horde
bretonnia-stats.json | Battle Pilgrims | specialRules_fr | Devout
bretonnia-stats.json | Field Trebuchet | specialRules_fr | Crewed
bretonnia-stats.json | Grail Reliquae | specialRules_fr | Devout
bretonnia-stats.json | Grail Reliquae | specialRules_fr | Relic
bretonnia-stats.json | Knights Errant | specialRules_fr | Impulsive
chaos-dwarfs-stats.json | Hobgoblin Cutthroats | specialRules_fr | Horde
daemons-of-chaos-stats.json | Bloodthirster of Khorne | equipment_fr | Goreaxe
daemons-of-chaos-stats.json | Bloodthirster of Khorne (on Juggernaut) | equipment_fr | Goreaxe
daemons-of-chaos-stats.json | Bloodthirster of Khorne (on Juggernaut) | specialRules_fr | Juggernaut
daemons-of-chaos-stats.json | Daemon Prince of Chaos (Khorne) (with wings) | equipment_fr | Wings
daemons-of-chaos-stats.json | Herald of Khorne (on Juggernaut) | specialRules_fr | Juggernaut
daemons-of-chaos-stats.json | Skull Cannon | specialRules_fr | Blast
dark-elves-stats.json | Bloodwrack Medusa | specialRules_fr | Murderous
dark-elves-stats.json | Bloodwrack Shrine | specialRules_fr | Murderous
dark-elves-stats.json | Cauldron of Blood | specialRules_fr | Murderous
dark-elves-stats.json | Dark Elf Dreadlord | specialRules_fr | Murderous
dark-elves-stats.json | Dark Elf Master | specialRules_fr | Murderous
dark-elves-stats.json | Death Hag | specialRules_fr | Murderous
dark-elves-stats.json | Har Ganeth Executioners | specialRules_fr | Murderous
dark-elves-stats.json | High Beastmaster | specialRules_fr | Murderous
dark-elves-stats.json | Khainite Assassin | specialRules_fr | Hidden
dark-elves-stats.json | Khainite Assassin | specialRules_fr | Murderous
dark-elves-stats.json | Sisters of Slaughter | specialRules_fr | Murderous
dark-elves-stats.json | Sorceress | specialRules_fr | Murderous
dark-elves-stats.json | Supreme Sorceress | specialRules_fr | Murderous
dark-elves-stats.json | Witch Elves | specialRules_fr | Horde
dark-elves-stats.json | Witch Elves | specialRules_fr | Murderous
dwarfen-mountain-holds-stats.json | Engineer Sapper | specialRules_fr | Hostile Terrain
empire-of-men-stats.json | Free Company Militia | specialRules_fr | Horde
empire-of-men-stats.json | Harald Gemunsen | specialRules_fr | Skilled Duellist
empire-of-men-stats.json | Nuln State Troops | specialRules_fr | Horde
empire-of-men-stats.json | Nuln Swordsmen | specialRules_fr | Horde
empire-of-men-stats.json | Nuln Veteran State Troops | specialRules_fr | Horde
empire-of-men-stats.json | State Troops | specialRules_fr | Horde
empire-of-men-stats.json | Veteran State Troops | specialRules_fr | Horde
empire-of-men-stats.json | War Altar of Sigmar | specialRules_fr | Holy Fervour
grand-cathay-stats.json | Cathayan Sentinel | specialRules_fr | Implacable
grand-cathay-stats.json | Cathayan Sentinel | specialRules_fr | Timmm-berrr!
grand-cathay-stats.json | Jade Lancers | specialRules_fr | Horde
high-elfs-realms-stats.json | Dragon Princes | specialRules_fr | Fearless
high-elfs-realms-stats.json | Phoenix Guard | specialRules_fr | Fearless
high-elfs-realms-stats.json | White Lions of Chrace | specialRules_fr | Fearless
ogre-kingdoms-stats.json | Giant | specialRules_fr | Timmm-berrr!
ogre-kingdoms-stats.json | Gnoblar Fighters | specialRules_fr | Horde
orc-and-goblins-tribe-stats.json | Black Orc Bigboss | specialRules_fr | Waaagh!
orc-and-goblins-tribe-stats.json | Black Orc Warboss | specialRules_fr | Waaagh!
