Untranslated IT entries in units-stats (EN == IT)
file | unit | field | value
--------------------------------------------------------------------------------
beastmen-brayherds-stats.json | Beastlord | specialRules_it | Blood Rage
beastmen-brayherds-stats.json | Beastlord | specialRules_it | Foe Render
beastmen-brayherds-stats.json | Beastlord | specialRules_it | Primal Fury
beastmen-brayherds-stats.json | Beastlord | specialRules_it | Warband
beastmen-brayherds-stats.json | Bestigor | specialRules_it | Blood Rage
beastmen-brayherds-stats.json | Bestigor | specialRules_it | Primal Fury
beastmen-brayherds-stats.json | Bestigor | specialRules_it | Warband
beastmen-brayherds-stats.json | Bray-Shaman | specialRules_it | Primal Fury
beastmen-brayherds-stats.json | Bray-Shaman | specialRules_it | Warband
beastmen-brayherds-stats.json | Centigor | specialRules_it | Drunken
beastmen-brayherds-stats.json | Centigor | specialRules_it | Primal Fury
beastmen-brayherds-stats.json | Centigor | specialRules_it | Warband
beastmen-brayherds-stats.json | Cockatrice | specialRules_it | Stony Stare
beastmen-brayherds-stats.json | Cygor | equipment_it | hurl attack
beastmen-brayherds-stats.json | Cygor | specialRules_it | Ghostsight
beastmen-brayherds-stats.json | Cygor | specialRules_it | Soul-eater
beastmen-brayherds-stats.json | Doombull | specialRules_it | Blood Greed
beastmen-brayherds-stats.json | Doombull | specialRules_it | Blood Rage
beastmen-brayherds-stats.json | Doombull | specialRules_it | Bull-gors
beastmen-brayherds-stats.json | Doombull | specialRules_it | Foe Render
beastmen-brayherds-stats.json | Doombull | specialRules_it | Primal Fury
beastmen-brayherds-stats.json | Doombull | specialRules_it | Slaughterer's Call
beastmen-brayherds-stats.json | Doombull | specialRules_it | Warband
beastmen-brayherds-stats.json | Ghorgon | equipment_it | Cleaver-limbs
beastmen-brayherds-stats.json | Ghorgon | specialRules_it | Blood Greed
beastmen-brayherds-stats.json | Ghorgon | specialRules_it | Frenzy
beastmen-brayherds-stats.json | Ghorgon | specialRules_it | Primal Fury
beastmen-brayherds-stats.json | Ghorgon | specialRules_it | Swallow Whole
beastmen-brayherds-stats.json | Ghorros Warhoof | equipment_it | Mansmasher
beastmen-brayherds-stats.json | Ghorros Warhoof | specialRules_it | Drunken
beastmen-brayherds-stats.json | Ghorros Warhoof | specialRules_it | Primal Fury
beastmen-brayherds-stats.json | Ghorros Warhoof | specialRules_it | Warband
beastmen-brayherds-stats.json | Giant | equipment_it | Giant's club
beastmen-brayherds-stats.json | Giant | specialRules_it | Pick Up And…
beastmen-brayherds-stats.json | Gor | specialRules_it | Blood Rage
beastmen-brayherds-stats.json | Gor | specialRules_it | Primal Fury
beastmen-brayherds-stats.json | Gor | specialRules_it | Warband
beastmen-brayherds-stats.json | Gorebull | specialRules_it | Blood Greed
beastmen-brayherds-stats.json | Gorebull | specialRules_it | Blood Rage
beastmen-brayherds-stats.json | Gorebull | specialRules_it | Bull-gors
beastmen-brayherds-stats.json | Gorebull | specialRules_it | Foe Render
