Nieprzetłumaczone wpisy PL w units-stats (EN == PL)
file | unit | field | value
--------------------------------------------------------------------------------
beastmen-brayherds-stats.json | Cockatrice | specialRules_pl | Groza
beastmen-brayherds-stats.json | Cygor | specialRules_pl | Groza
beastmen-brayherds-stats.json | Ghorgon | specialRules_pl | Groza
beastmen-brayherds-stats.json | Giant | specialRules_pl | Groza
beastmen-brayherds-stats.json | Jabberslythe | specialRules_pl | Groza
beastmen-brayherds-stats.json | Preyton | specialRules_pl | Groza
beastmen-brayherds-stats.json | Shaggoth | specialRules_pl | Groza
bretonnia-stats.json | Battle Pilgrims | equipment_pl | Tarcza
bretonnia-stats.json | Battle Pilgrims | specialRules_pl | Pobożni
bretonnia-stats.json | Damsel | specialRules_pl | Błogosławieństwo Pani
bretonnia-stats.json | Duke | equipment_pl | Tarcza
bretonnia-stats.json | Duke | specialRules_pl | Przysięga obowiązku
bretonnia-stats.json | Duke | specialRules_pl | Błogosławieństwo Pani
bretonnia-stats.json | Field Trebuchet | specialRules_pl | Obsługiwany
bretonnia-stats.json | Grail Knights | equipment_pl | Lanca Graala
bretonnia-stats.json | Grail Knights | equipment_pl | Tarcza
bretonnia-stats.json | Grail Knights | specialRules_pl | Przysięga Graala
bretonnia-stats.json | Grail Knights | specialRules_pl | Błogosławieństwo Pani
bretonnia-stats.json | Grail Knights | specialRules_pl | Formacja lancy
bretonnia-stats.json | Grail Reliquae | equipment_pl | Tarcza relikwii
bretonnia-stats.json | Grail Reliquae | specialRules_pl | Pobożni
bretonnia-stats.json | Grail Reliquae | specialRules_pl | Relikwia
bretonnia-stats.json | Knights Errant | equipment_pl | Tarcza
bretonnia-stats.json | Knights Errant | specialRules_pl | Impulsywni
bretonnia-stats.json | Knights Errant | specialRules_pl | Przysięga rycerska
bretonnia-stats.json | Knights Errant | specialRules_pl | Błogosławieństwo Pani
bretonnia-stats.json | Knights Errant | specialRules_pl | Formacja lancy
bretonnia-stats.json | Knights of the Realm | equipment_pl | Lanca
bretonnia-stats.json | Knights of the Realm | equipment_pl | Tarcza
bretonnia-stats.json | Knights of the Realm | specialRules_pl | Przysięga obowiązku
bretonnia-stats.json | Knights of the Realm | specialRules_pl | Błogosławieństwo Pani
bretonnia-stats.json | Knights of the Realm | specialRules_pl | Formacja lancy
bretonnia-stats.json | Men-at-Arms | equipment_pl | Halabarda
bretonnia-stats.json | Men-at-Arms | equipment_pl | Tarcza
bretonnia-stats.json | Men-at-Arms | specialRules_pl | Chłopski obowiązek
bretonnia-stats.json | Mounted Yeomen | equipment_pl | Łuk
bretonnia-stats.json | Mounted Yeomen | equipment_pl | Włócznia
bretonnia-stats.json | Mounted Yeomen | specialRules_pl | Chłopski obowiązek
bretonnia-stats.json | Paladin | equipment_pl | Tarcza
bretonnia-stats.json | Paladin | specialRules_pl | Przysięga obowiązku
bretonnia-stats.json | Paladin | specialRules_pl | Błogosławieństwo Pani
bretonnia-stats.json | Peasant Bowmen | equipment_pl | Długi łuk
bretonnia-stats.json | Peasant Bowmen | specialRules_pl | Palisada obronna
bretonnia-stats.json | Peasant Bowmen | specialRules_pl | Chłopski obowiązek
bretonnia-stats.json | Pegasus Knights | equipment_pl | Opancerzony pegaz
bretonnia-stats.json | Pegasus Knights | equipment_pl | Lanca
bretonnia-stats.json | Pegasus Knights | equipment_pl | Tarcza
bretonnia-stats.json | Pegasus Knights | specialRules_pl | Błogosławieństwo Pani
bretonnia-stats.json | Prophetess of the Lady | specialRules_pl | Błogosławieństwo Pani
bretonnia-stats.json | Questing Knights | specialRules_pl | Przysięga wyprawy
bretonnia-stats.json | Questing Knights | specialRules_pl | Błogosławieństwo Pani
bretonnia-stats.json | Questing Knights | specialRules_pl | Formacja lancy
bretonnia-stats.json | The Green Knight | equipment_pl | Tarcza
bretonnia-stats.json | The Green Knight | equipment_pl | Bolesny Miecz
bretonnia-stats.json | The Green Knight | specialRules_pl | Eteryczny
bretonnia-stats.json | The Green Knight | specialRules_pl | Groza
bretonnia-stats.json | The Green Knight | specialRules_pl | Błogosławieństwo Pani
chaos-dwarfs-stats.json | Bale Taurus | specialRules_pl | Płonące ciało
chaos-dwarfs-stats.json | Bale Taurus | specialRules_pl | Groza
chaos-dwarfs-stats.json | Bull Centaur Renders | specialRules_pl | Tratowanie
chaos-dwarfs-stats.json | Bull Centaur Taur'ruk | specialRules_pl | Tratowanie
chaos-dwarfs-stats.json | Daemonsmith Sorcerer | specialRules_pl | Wiedza Hashuta
chaos-dwarfs-stats.json | Daemonsmith Sorcerer | specialRules_pl | Niezłomni
